,hospital_overall_rating,emergency_services,hospital_type,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison
0,3.0,True,1,3,2,1,2,2,1
1,4.0,True,1,2,4,2,4,2,2
2,3.0,True,1,3,1,2,2,2,2
3,3.0,True,1,2,3,1,3,3,3
4,3.0,True,1,2,4,2,3,3,4
5,,True,2,4,4,4,4,4,4
6,,True,2,4,4,4,4,4,4
7,,True,1,4,4,2,4,3,4
8,3.0,False,1,4,2,2,3,2,4
9,,False,1,4,4,4,4,4,4
10,,False,1,4,4,4,4,4,4
11,2.0,True,1,4,2,2,2,3,4
12,2.0,True,1,3,3,3,3,3,2
13,,False,2,4,4,4,4,4,4
14,,False,2,4,4,4,4,4,4
15,,True,2,2,4,2,4,4,4
16,3.0,True,2,2,4,2,1,4,2
17,3.0,True,1,2,2,2,3,2,3
18,2.0,True,1,2,3,2,3,2,3
19,4.0,True,1,1,1,2,1,2,2
20,4.0,True,1,2,2,1,2,1,3
21,4.0,True,1,2,2,1,1,1,3
22,3.0,True,1,2,2,2,2,1,3
23,3.0,True,1,2,3,1,3,2,3
24,3.0,False,1,4,2,4,2,2,4
25,,True,3,4,4,4,4,4,4
26,4.0,True,1,2,1,1,2,1,2
27,3.0,True,1,2,1,3,1,2,2
28,4.0,True,1,2,1,2,3,2,3
29,4.0,True,1,2,1,2,1,1,1
30,2.0,True,1,2,2,3,3,3,3
31,3.0,True,1,2,1,3,3,1,2
32,,True,2,4,4,4,4,4,4
33,,True,2,4,4,4,4,4,4
34,,True,2,4,4,4,4,4,4
35,3.0,True,1,2,2,1,1,2,3
36,3.0,True,1,2,3,2,1,2,1
37,3.0,True,1,2,2,2,2,2,2
38,3.0,True,1,2,3,2,1,2,2
39,1.0,True,1,2,3,2,3,2,3
40,3.0,True,1,2,2,3,1,1,1
41,3.0,True,1,1,1,3,3,1,2
42,4.0,True,1,1,3,1,1,1,2
43,4.0,True,1,2,1,1,2,1,1
44,,True,2,4,4,4,1,4,4
45,,True,2,2,4,2,4,4,4
46,,False,3,4,4,4,4,4,4
47,4.0,True,1,2,1,2,1,2,2
48,3.0,True,2,2,4,2,2,4,4
49,2.0,True,2,2,4,2,2,2,1
50,,True,2,4,4,4,4,4,4
51,,True,2,4,4,4,4,4,4
52,,True,2,4,4,4,4,4,4
53,,True,2,2,4,2,4,4,4
54,,True,2,4,4,2,4,4,1
55,2.0,True,1,2,3,2,3,3,3
56,4.0,True,1,2,2,2,1,2,1
